[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
             beta[1]       beta[2]      beta[3]       beta[4]      beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
 [23,] -0.355305889 -0.277096324 -0.444822092 -0.1149964876 -1.800806e-01 -0.0947928415         33.13648         44.04614         37.80067
 [24,] -0.130126815 -0.052809024 -0.563557009  0.3083765423 -2.278917e-01 -0.1139272616         40.19409         48.84758         45.72335
 [25,] -0.293696928 -0.155971379 -0.612136937  0.1982801444 -5.244196e-01  0.0186665944         36.63395         50.80670         46.56651
 [26,] -0.106728100  0.001304606 -0.360964614  0.2880042427 -1.802170e-01 -0.0204865744         31.63635         38.61711         40.19765
 [27,] -0.283540002 -0.045509640 -0.412358101  0.1087013921 -3.069118e-01 -0.0388015460         24.69875         29.89611         21.70187
 [28,] -0.292940508 -0.114351784 -0.363150616  0.0019827380 -2.343225e-02 -0.0978728206         34.32805         50.38784         43.00084
 [29,] -0.244538929 -0.162910844 -0.088707615 -0.3861600000 -2.902309e-01  0.0482840329         33.72095         50.50373         41.16567
 [30,] -0.256912766 -0.128179703 -0.398585032  0.0914960015 -2.492691e-01  0.0951807655         39.88730         36.66419         33.50498
 [31,] -0.303597570 -0.142037218 -0.351659789 -0.0336945481 -1.873005e-01 -0.0743483343         49.52924         42.37725         42.58379
 [32,]  0.031193540  0.037597855 -0.616431269  0.7637928813 -5.773757e-02 -0.1600401511         22.07262         42.86471         39.78646
 [33,] -0.099179163 -0.186667825 -0.444587054  0.1491083344 -8.157299e-02 -0.1660454545         23.40438         28.95041         50.00387
 [34,] -0.177251366 -0.089110668 -0.331354182  0.0019849197 -1.702732e-01 -0.0556544695         45.36610         49.46419         46.71730
 [35,] -0.105186788  0.080653736 -0.481565301  0.4719735590 -4.408192e-01  0.0898207742         49.60186         52.52650         40.48984
 [36,] -0.321825436 -0.017700661 -0.472897945  0.0307901235 -2.339194e-02 -0.1711661121         41.41742         28.27035         42.15056
 [37,] -0.478361812  0.170968421  0.013271232 -0.2121436125 -8.383352e-02  0.0621533318         44.75638         54.79087         61.40371
 [38,] -0.093743064 -0.036912631 -0.050302423 -0.0298084846 -2.299539e-01 -0.0443748657         30.39375         33.07232         27.60649
 [39,] -0.455894604 -0.086849361  0.016095057 -0.5541212564 -1.712532e-01 -0.0781594917         43.37695         49.02329         42.61844
 [40,]  0.092116563 -0.100072740  0.022139267 -0.0071027661 -3.203789e-01  0.0611784372         37.88065         51.64507         43.80244
 [41,] -0.187140596 -0.185239005 -0.840307572  0.5287527128 -2.752031e-01  0.0403516328         46.03830         47.88832         48.96259
 [42,]  0.159094181 -0.092611246 -0.710132096  0.8267076368 -2.251980e-01 -0.0216511050         29.11792         43.06909         41.89212
 [43,] -0.107224763  0.040975202 -0.730834002  0.6279170738 -2.604784e-02 -0.2024695212         40.02735         41.89668         45.75309
 [44,] -0.102220953 -0.204200309 -0.349588888  0.0284881726 -1.576213e-01 -0.0818745246         47.85201         41.11620         44.28776
 [45,] -0.153030729 -0.128568876 -0.463509525  0.3599672725 -2.673511e-01 -0.0872892382         47.54037         49.59366         48.90022
 [46,] -0.050373665  0.052908279 -0.489637771  0.4339767365 -2.282899e-01 -0.0976775560         44.49229         47.93631         43.96598
 [47,]  0.051436941 -0.070809413 -0.740649246  0.8921633895 -3.724773e-02 -0.2144934267         29.77305         48.43521         40.91459
 [48,] -0.071029838 -0.103002740 -0.566413612  0.4501649135 -2.811757e-01  0.0392913180         40.93826         40.35765         43.63270
 [49,]  0.098514020 -0.192085900 -0.175762773  0.1144607319 -1.055003e-01 -0.2090781626         31.82100         42.19018         51.66399
 [50,]  0.148623626  0.142025503 -0.611084954  0.8666396525 -9.266850e-02 -0.1384808588         38.94945         42.44069         39.19480
 [51,] -0.089041642 -0.049269717 -0.566198302  0.4816032864 -2.705841e-01 -0.0108604051         49.78304         39.91369         59.08745
 [52,] -0.125547710 -0.185011984 -0.343294823  0.2037439416 -2.879060e-01 -0.1124685246         39.64559         47.84868         43.54799
 [53,] -0.352440333 -0.057632599 -0.395553396  0.0558926955 -1.595398e-01 -0.0473057177         21.93214         51.62404         46.52152
 [54,]  0.031863394 -0.043465891 -0.970375269  0.9836759544 -5.364617e-02 -0.2655272474         47.38642         50.46100         41.60102
 [55,]  0.014835394  0.029706399 -0.447967505  0.5484908853 -3.361941e-01 -0.0125937323         42.51377         54.24497         46.10227
 [56,] -0.240967145  0.021030765 -0.337482313  0.0023334475 -1.009229e-01 -0.0053644227         29.03265         43.84162         34.60394
 [57,] -0.252441332 -0.164713845 -0.452119340  0.1758176026 -2.437058e-01 -0.1259559716         48.27799         53.59299         51.90678
 [58,] -0.327830548 -0.102017492 -0.434392864  0.0423087596 -2.444928e-01  0.0385027312         41.72332         38.24983         47.60963
