
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[7]   1.018e-06 1.023e-06 1.026e-06 1.029e-06 1.042e-06
hr[8]   4.051e-07 4.112e-07 4.424e-07 4.457e-07 4.489e-07
hr[9]   1.475e-06 1.495e-06 1.530e-06 1.587e-06 1.620e-06
hr[10]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[12]  3.716e-05 3.716e-05 3.716e-05 3.716e-05 3.716e-05
hr[13]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[14]  6.098e-04 6.098e-04 6.098e-04 6.098e-04 6.098e-04
hr[15]  1.173e-04 1.173e-04 1.173e-04 1.173e-04 1.173e-04
hr[16]  7.692e-04 7.692e-04 7.692e-04 7.692e-04 7.692e-04
hr[17]  1.651e-03 1.651e-03 1.651e-03 1.651e-03 1.651e-03
hr[18]  1.030e-04 1.030e-04 1.030e-04 1.030e-04 1.030e-04
hr[19]  6.377e-04 6.377e-04 6.377e-04 6.377e-04 6.377e-04
hr[20]  6.363e-05 6.363e-05 6.363e-05 6.363e-05 6.363e-05
hr[21]  1.870e-04 1.870e-04 1.870e-04 1.870e-04 1.870e-04
hr[22]  2.078e-05 2.078e-05 2.078e-05 2.078e-05 2.078e-05
hr[23]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[24]  3.010e-04 3.010e-04 3.010e-04 3.010e-04 3.010e-04
hr[25]  1.653e-02 1.653e-02 1.653e-02 1.653e-02 1.653e-02
hr[26]  5.742e-03 5.742e-03 5.742e-03 5.742e-03 5.742e-03
hr[27]  4.137e-05 4.150e-05 4.280e-05 4.354e-05 4.397e-05
hr[28]  5.806e-04 5.836e-04 6.100e-04 7.421e-04 8.307e-04
hr[29]  5.598e-04 5.791e-04 6.183e-04 6.499e-04 6.546e-04
hr[30]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[31]  1.648e-03 1.648e-03 1.648e-03 1.648e-03 1.648e-03
hr[32]  2.378e-03 2.378e-03 2.378e-03 2.378e-03 2.378e-03
hr[33]  7.128e-03 7.128e-03 7.128e-03 7.128e-03 7.128e-03
hr[34]  3.265e-03 3.265e-03 3.265e-03 3.265e-03 3.265e-03
hr[35]  5.169e-03 5.169e-03 5.169e-03 5.169e-03 5.169e-03
hr[36]  5.000e-03 5.000e-03 5.000e-03 5.000e-03 5.000e-03
hr[37]  2.362e-03 2.362e-03 2.362e-03 2.362e-03 2.362e-03
hr[38]  9.939e-03 9.939e-03 9.939e-03 9.939e-03 9.939e-03
