[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
            beta[1]      beta[2]     beta[3]     beta[4]     beta[5]      beta[6] mulogsummer[1,1]
[31,] -0.012224626  0.007673498 -0.06965817  0.03206316 -0.07914145 -0.0361231662         22.85789
[32,] -0.118680546 -0.060121194 -0.43610328  0.29789119 -0.26550684  0.0089503027         26.06802
[33,] -0.063262773  0.051115558 -0.16651697  0.11658222 -0.23738636 -0.0996247341         31.60920
[34,] -0.174474779 -0.106818826  0.03616202 -0.21577906 -0.17396022 -0.0708666706         31.97210
[35,]  0.031551862  0.037013898 -0.22276520  0.26889903 -0.24502705  0.0419655874         33.71326
[36,] -0.040434253  0.072069316 -0.13361587  0.21862465 -0.26395497  0.0545913279         33.76113
[37,]  0.079325436  0.164463415 -0.04288957  0.28124317 -0.13996126 -0.1083254519         32.01707
[38,] -0.224152126  0.033145702 -0.45164180  0.30333748 -0.18111664 -0.0005534335         30.02223
[39,] -0.199800660  0.054203574 -0.25520354  0.06719792 -0.07744735 -0.2163053225         20.74567
[40,]  0.077459658  0.027374478 -0.27244057  0.45988485 -0.18285384 -0.1043273532         28.93163
[41,] -0.209860607 -0.027442653 -0.48794840  0.46622973 -0.43106528 -0.0368840799         20.21141
[42,] -0.159007516  0.054088287 -0.11245283 -0.06940154 -0.25775187  0.0221058927         28.31179
[43,]  0.242523115  0.103114370 -0.20858761  0.62494397 -0.28284766 -0.0366898076         32.71917
[44,] -0.232100087  0.051821633 -0.26997376  0.08928299 -0.11143988 -0.0295825256         25.58621
[45,] -0.086001605 -0.005682543 -0.27014293  0.14884304 -0.28257078 -0.1228604673         28.76034
[46,]  0.142199937 -0.101146599  0.06394784  0.04857150  0.01865319 -0.1889020069         26.45553
[47,]  0.120721307 -0.027093462 -0.20937496  0.31484559 -0.09800949 -0.1599594784         33.11710
[48,] -0.329241634 -0.134677837 -0.38963710  0.11046846 -0.50767106  0.0576094302         28.04695
      mulogsummer[2,1] mulogsummer[1,2] mulogsummer[2,2]  sd.index sigmalogsummer t.sd.index
 [1,]         31.30119         32.82804         41.98109 0.9112093       9.168836  1.9002846
 [2,]         31.41710         34.96546         36.16003 0.8739453       8.937921  1.7802139
