
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[125] 6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[126] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[127] 2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[128] 1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[129] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[130] 1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[131] 1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[132] 1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[133] 3.120e-04 9.929e-04 1.818e-03 3.290e-03 1.059e-02
hr[134] 7.425e-04 2.385e-03 4.342e-03 7.925e-03 2.535e-02
hr[135] 3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
